// AAQ-RINKO Series AAQ-PRO2 Communication Software
// Version 1.06
// File Date:2024/05/01 10:46:51
// Copyright (C) JFE Advantech Co., Ltd.

[Format]
FormatVersion=1.00
DataFormat=1
Delimiter=0
MeasMode=0
Model=PRO2

[Head]
SondeName=AAQ177-CAD
SondeNo=0136
SensorType=D0D1T1C1C2K0U3O0TOP0TPP1Q0
SensorType2=03030303030303030303030303
Channel=13
Comment=Stop4

PreHeat=1000
Interval=200
SampleCnt=482

StartTime=2024/05/01 10:46:51
EndTime=2024/05/01 10:48:29

DepAdjRho=1.0250

ECA=0
ECB=1
ECDeg=25
ECCoef=0.022

CHLA=0
CHLB=1

PC_SWA=0
PC_SWB=1
PC_SWC=0
PC_SWD=0

DepthZero=0.188
StartDepthA=-0.104301099885244
StartDepthB=-0.108011705165605

FilmNo=144601B
UseMicroMol=0

CoefDate=2015/10/07

Ch1=-5.81083600e-02,1.869638000e-05,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch2=0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch3=-5.69772200e00,1.069701000e-03,-1.26507900e-08,2.919105000e-13,-3.52728500e-18,2.531630000e-23,0.000000000e00,0.000000000e00,
Ch4=2.423661000e-02,3.814907000e01,8.033290000e-02,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch5=0.000000000e00,1.0000000000000,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch6=-5.03341200e00,7.490196000e-03,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch7=-9.43223700e00,1.467499000e-02,6.216078000e-08,1.130527000e-13,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch8=-4.24825000e01,2.260056000e06,-6.04631800e03,1.001100000e-02,4.400000000e-03,5.380000000e-05,-1.05100000e00,1.045489730e00,
Ch9=-5.53150100e00,1.071128000e-03,-1.28910100e-08,3.048651000e-13,-3.82419300e-18,2.768645000e-23,0.000000000e00,0.000000000e00,
Ch10=6.626887710e00,2.808857570e-04,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch11=-5.11247900e00,1.744157000e-03,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch12=1250.0000000000,-0.038140000000,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch13=-8.91483700e01,9.384038000e-02,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,

[Item]
Date,Depth [m],Temp. [degC],Sal.,Cond. [mS/cm],EC25 [µS/cm],Density [kg/m3],SigmaT,Chl-Flu. [ppb],Chl-a [µg/l],Turb. [FTU],pH,ORP [mV],DO [%],DO [mg/l],Quant. [µmol/(m2*s)],Mark,
1/05/2024 10:46:51 AM,0.000,17.837,0.268,0.476,564.6,998.833,0.000,57.240,57.240,55.331,8.157,223.347,100.969,9.395,887.824,0,
1/05/2024 10:46:52 AM,0.000,17.835,0.257,0.457,542.0,998.825,0.000,18.411,18.411,13.122,8.157,223.424,100.922,9.393,954.075,0,
1/05/2024 10:46:52 AM,0.000,17.839,0.252,0.446,529.8,998.819,0.000,18.793,18.793,15.621,8.157,223.424,100.916,9.399,890.451,0,
1/05/2024 10:46:52 AM,0.000,17.807,0.246,0.436,518.5,998.821,0.000,38.694,38.694,36.059,8.157,223.576,100.972,9.409,958.392,0,
1/05/2024 10:46:52 AM,0.000,17.798,0.239,0.424,503.7,998.817,0.000,26.006,26.006,51.393,8.157,223.691,100.936,9.414,944.879,0,
1/05/2024 10:46:52 AM,0.000,17.798,0.234,0.415,493.2,998.813,0.000,54.057,54.057,143.727,8.157,223.805,100.798,9.402,954.263,0,
1/05/2024 10:46:53 AM,0.000,17.811,0.229,0.407,483.6,998.807,0.000,13.033,13.033,28.245,8.156,223.996,100.898,9.414,965.618,0,
1/05/2024 10:46:53 AM,0.000,17.816,0.225,0.400,474.6,998.803,0.000,15.834,15.834,30.601,8.156,224.187,100.913,9.423,943.377,0,
1/05/2024 10:46:53 AM,0.000,17.816,0.223,0.396,470.2,998.802,0.000,15.512,15.512,20.376,8.155,224.415,101.154,9.452,962.145,0,
1/05/2024 10:46:53 AM,0.000,17.812,0.223,0.396,470.6,998.802,0.000,8.074,8.074,6.149,8.153,224.721,101.258,9.468,948.914,0,
1/05/2024 10:46:53 AM,0.000,17.798,0.226,0.401,476.7,998.807,0.000,8.104,8.104,2.052,8.152,225.064,101.302,9.481,974.626,0,
1/05/2024 10:46:54 AM,0.000,18.244,34.208,45.210,53103.0,1024.605,24.605,0.584,0.584,0.000,8.155,222.661,101.824,7.733,971.717,0,
1/05/2024 10:46:54 AM,0.000,18.948,35.550,47.508,54805.1,1025.455,25.455,1.011,1.011,0.000,8.157,222.203,101.822,7.621,994.802,0,
1/05/2024 10:46:54 AM,0.000,19.118,36.645,48.988,56268.9,1026.249,26.249,1.026,1.026,0.384,8.159,222.089,101.736,7.556,1000.808,0,
1/05/2024 10:46:54 AM,0.000,19.156,36.618,48.995,56223.5,1026.218,26.218,0.824,0.824,0.502,8.160,222.013,101.512,7.538,991.705,0,
1/05/2024 10:46:54 AM,0.000,19.163,36.618,49.002,56222.1,1026.216,26.216,17.212,17.212,21.392,8.162,221.936,101.329,7.525,987.858,0,
1/05/2024 10:46:55 AM,0.000,19.165,36.614,49.000,56216.7,1026.213,26.213,6.764,6.764,14.103,8.163,221.936,101.194,7.514,975.002,0,
1/05/2024 10:46:55 AM,0.000,19.168,3.591,5.814,6669.4,1001.111,1.112,5.992,5.992,2.451,8.163,221.936,101.088,9.132,996.491,0,
1/05/2024 10:46:55 AM,0.000,19.171,36.605,48.995,56203.0,1026.204,26.204,4.831,4.831,2.288,8.164,221.936,101.077,7.505,983.729,0,
