// AAQ-RINKO Series AAQ-PRO2 Communication Software
// Version 1.06
// File Date:2025/08/17 14:35:59
// Copyright (C) JFE Advantech Co., Ltd.

[Format]
FormatVersion=1.00
DataFormat=1
Delimiter=0
MeasMode=0
Model=PRO2

[Head]
SondeName=AAQ177-CAD
SondeNo=0136
SensorType=D0D1T1C1C2K0U3O0TOP0TPP1Q0
SensorType2=03030303030303030303030303
Channel=13
Comment=Aug 9

PreHeat=1000
Interval=200
SampleCnt=258

StartTime=2025/08/17 14:35:59
EndTime=2025/08/17 14:36:51

DepAdjRho=1.0250

ECA=0
ECB=1
ECDeg=25
ECCoef=0.022

CHLA=0
CHLB=1

PC_SWA=0
PC_SWB=1
PC_SWC=0
PC_SWD=0

DepthZero=0.219
StartDepthA=0.017218882739396
StartDepthB=0.0165037534068625

FilmNo=144601B
UseMicroMol=0

CoefDate=2015/10/07

Ch1=-5.81083600e-02,1.869638000e-05,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch2=0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch3=-5.69772200e00,1.069701000e-03,-1.26507900e-08,2.919105000e-13,-3.52728500e-18,2.531630000e-23,0.000000000e00,0.000000000e00,
Ch4=2.423661000e-02,3.814907000e01,8.033290000e-02,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch5=0.000000000e00,1.0000000000000,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch6=-5.03341200e00,7.490196000e-03,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch7=-9.43223700e00,1.467499000e-02,6.216078000e-08,1.130527000e-13,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch8=-4.24825000e01,2.260056000e06,-6.04631800e03,1.001100000e-02,4.400000000e-03,5.380000000e-05,-1.05100000e00,1.045489730e00,
Ch9=-5.53150100e00,1.071128000e-03,-1.28910100e-08,3.048651000e-13,-3.82419300e-18,2.768645000e-23,0.000000000e00,0.000000000e00,
Ch10=6.626887710e00,2.808857570e-04,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch11=-5.11247900e00,1.744157000e-03,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch12=1250.0000000000,-0.038140000000,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch13=-8.91483700e01,9.384038000e-02,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,

[Item]
Date,Depth [m],Temp. [degC],Sal.,Cond. [mS/cm],EC25 [µS/cm],Density [kg/m3],SigmaT,Chl-Flu. [ppb],Chl-a [µg/l],Turb. [FTU],pH,ORP [mV],DO [%],DO [mg/l],Quant. [µmol/(m2*s)],Mark,
17/08/2025 2:35:59 PM,0.018,12.992,0.052,0.082,111.9,999.421,0.000,7.745,7.745,797.007,7.504,86.425,100.069,10.436,572.802,0,
17/08/2025 2:35:59 PM,0.018,13.006,0.052,0.082,111.8,999.419,0.000,8.419,8.419,812.569,7.505,86.425,100.055,10.434,569.048,0,
17/08/2025 2:35:59 PM,0.018,13.011,0.052,0.082,111.2,999.418,0.000,7.910,7.910,819.979,7.505,86.577,100.053,10.435,562.292,0,
17/08/2025 2:35:59 PM,0.017,13.004,0.052,0.082,112.1,999.419,0.000,8.202,8.202,822.270,7.505,86.692,100.089,10.439,542.773,0,
17/08/2025 2:36:00 PM,0.018,13.003,0.052,0.082,111.9,999.419,0.000,7.333,7.333,813.732,7.506,86.768,100.112,10.441,494.445,0,
17/08/2025 2:36:00 PM,0.018,13.008,0.052,0.082,112.0,999.419,0.000,7.393,7.393,816.801,7.510,86.768,100.133,10.444,455.220,0,
17/08/2025 2:36:00 PM,0.018,13.017,0.052,0.082,111.3,999.417,0.000,4.629,4.629,791.755,7.511,86.883,100.116,10.442,427.724,0,
17/08/2025 2:36:00 PM,0.018,13.014,0.052,0.081,110.4,999.417,0.000,3.101,3.101,789.258,7.510,86.997,100.036,10.431,418.997,0,
17/08/2025 2:36:00 PM,0.018,13.002,0.051,0.081,109.9,999.419,0.000,6.966,6.966,723.838,7.510,87.150,100.073,10.435,434.669,0,
17/08/2025 2:36:01 PM,0.018,12.985,0.053,0.083,113.2,999.422,0.000,1.506,1.506,270.433,7.511,87.264,100.021,10.432,565.294,0,
17/08/2025 2:36:01 PM,0.020,12.988,0.058,0.092,125.2,999.426,0.000,9.295,9.295,81.991,7.512,87.417,100.041,10.439,686.912,0,
17/08/2025 2:36:01 PM,0.017,12.986,0.054,0.085,115.2,999.423,0.000,49.525,49.525,77.010,7.513,87.645,100.382,10.504,586.784,0,
17/08/2025 2:36:01 PM,0.017,12.979,0.053,0.084,113.6,999.423,0.000,20.650,20.650,28.305,7.519,87.798,100.341,10.505,458.786,0,
17/08/2025 2:36:01 PM,0.000,13.134,0.583,0.901,1219.5,999.816,0.000,0.000,0.000,19.541,7.620,71.398,101.621,10.537,437.390,0,
17/08/2025 2:36:02 PM,0.000,14.464,0.559,0.893,1162.4,999.613,0.000,2.210,2.210,9.973,7.754,49.391,103.188,10.450,434.575,0,
17/08/2025 2:36:02 PM,0.000,14.872,0.553,0.893,1149.6,999.549,0.000,3.288,3.288,7.378,7.853,46.454,103.156,10.386,423.595,0,
17/08/2025 2:36:02 PM,0.034,14.971,0.552,0.893,1145.9,999.533,0.000,3.565,3.565,7.008,7.939,46.073,102.849,10.339,418.997,0,
17/08/2025 2:36:02 PM,0.076,14.993,0.552,0.894,1145.9,999.530,0.000,3.445,3.445,5.868,8.014,45.958,102.635,10.314,406.704,0,
17/08/2025 2:36:02 PM,0.104,14.991,0.553,0.896,1148.7,999.531,0.000,3.475,3.475,5.645,8.081,46.263,102.230,10.271,396.945,0,
